"ResponseId"	"UserLanguage"	"Age"	"Sex"	"subjectLighting"	"rating"
"70"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"B4"	2
"71"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"B5"	1
"72"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"B6"	2
"73"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"D1"	3
"74"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"D2"	1
"75"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"D3"	2
"76"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"D4"	2
"77"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"D5"	5
"78"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"D6"	3
"79"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"G1"	5
"80"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"G2"	6
"81"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"G3"	7
"82"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"G4"	6
"83"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"G5"	6
"84"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"G6"	7
"85"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"H1"	2
"86"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"H2"	3
"87"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"H3"	2
"88"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"H4"	2
"89"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"H5"	2
"90"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"H6"	2
"91"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"I1"	4
"92"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"I2"	4
"93"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"I3"	4
"94"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"I4"	4
"95"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"I5"	5
"96"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"I6"	4
"97"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"J1"	6
"98"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"J2"	7
"99"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"J3"	7
"100"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"J4"	6
"101"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"J5"	6
"102"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"J6"	7
"103"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"K1"	4
"104"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"K2"	6
"105"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"K3"	6
"106"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"K4"	5
"107"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"K5"	6
"108"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"K6"	7
"109"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"N1"	4
"110"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"N2"	6
"111"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"N3"	6
"112"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"N4"	6
"113"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"N5"	7
"114"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"N6"	7
"115"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"O1"	4
"116"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"O2"	6
"117"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"O3"	7
"118"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"O4"	7
"119"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"O5"	7
"120"	"R_sNA0Y7Wikfbjmoh"	"EN"	"54"	"Male"	"O6"	5
"121"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"A1"	3
"122"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"A2"	3
"123"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"A3"	4
"124"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"A4"	3
"125"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"A5"	4
"126"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"A6"	3
"127"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"B1"	4
"128"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"B2"	3
"129"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"B3"	2
"130"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"B4"	4
"131"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"B5"	3
"132"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"B6"	4
"133"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"D1"	6
"134"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"D2"	6
"135"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"D3"	6
"136"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"D4"	5
"137"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"D5"	6
"138"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"D6"	6
"139"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"G1"	6
"140"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"G2"	7
"141"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"G3"	6
"142"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"G4"	6
"143"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"G5"	6
"144"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"G6"	6
"145"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"H1"	2
"146"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"H2"	2
"147"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"H3"	2
"148"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"H4"	2
"149"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"H5"	2
"150"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"H6"	2
